year,region,technology,value
2030,UK,Power2Gas,11.25
2040,DE,Power2Gas,10.125
2040,FR,Power2Gas,6.75
2040,NO,Power2Gas,3
2040,DK,Power2Gas,3.375
2040,UK,Power2Gas,5.625
2050,DE,Power2Gas,2.025
2050,FR,Power2Gas,1.35
2050,NO,Power2Gas,0.6
2050,DK,Power2Gas,0.675
2050,UK,Power2Gas,1.125
2020,DE,SolarPV,54
2020,FR,SolarPV,90
2020,NO,SolarPV,13.5
2020,DK,SolarPV,18
2020,UK,SolarPV,36
2030,DE,SolarPV,40.5
2030,FR,SolarPV,67.5
2030,NO,SolarPV,10.125
2030,DK,SolarPV,13.5
2030,UK,SolarPV,27
2040,DE,SolarPV,20.25
2040,FR,SolarPV,33.75
2040,NO,SolarPV,5.0625
2040,DK,SolarPV,6.75
2040,UK,SolarPV,13.5
2050,DE,SolarPV,0
2050,FR,SolarPV,0
2050,NO,SolarPV,0
2050,DK,SolarPV,0
2050,UK,SolarPV,0
2020,DE,WindOffshore,9
2020,FR,WindOffshore,5.4
2020,NO,WindOffshore,0
2020,DK,WindOffshore,0
2020,UK,WindOffshore,3.6
2030,DE,WindOffshore,6.75
2030,FR,WindOffshore,4.05
2030,NO,WindOffshore,0
2030,DK,WindOffshore,0
2030,UK,WindOffshore,2.7
2040,DE,WindOffshore,3.375
2040,FR,WindOffshore,2.025
2040,NO,WindOffshore,0
2040,DK,WindOffshore,0
2040,UK,WindOffshore,1.35
2050,DE,WindOffshore,1.6875
2050,FR,WindOffshore,1.0125
2050,NO,WindOffshore,0
2050,DK,WindOffshore,0
2050,UK,WindOffshore,0.675
2020,DE,WindOnshore,18
2020,FR,WindOnshore,27
2020,NO,WindOnshore,11.7
2020,DK,WindOnshore,17.55
2020,UK,WindOnshore,36
2030,DE,WindOnshore,13.5
2030,FR,WindOnshore,20.25
2030,NO,WindOnshore,8.775
2030,DK,WindOnshore,13.1625
2030,UK,WindOnshore,27
2040,DE,WindOnshore,13.5
2040,FR,WindOnshore,20.25
2040,NO,WindOnshore,8.775
2040,DK,WindOnshore,13.1625
2040,UK,WindOnshore,27
2050,DE,WindOnshore,0
2050,FR,WindOnshore,0
2050,NO,WindOnshore,0
2050,DK,WindOnshore,0
2050,UK,WindOnshore,0
