Year,Region,Technology,Hour,Fuel,value
2040,FR,H2Tank,72,H2,12.045914229824561
2050,DE,PHS,95,Power,578.3402921216983
2040,DK,H2Tank,30,H2,14.25
2050,FR,PHS,38,Power,314.5759670923237
2050,NO,H2Tank,8,H2,42.6795249539191
2050,UK,PHS,68,Power,123.97879551141223
2040,UK,Battery,87,Power,233.255278509035
2050,DE,Battery,17,Power,-0.0
2020,FR,PHS,99,Power,-0.0
2030,NO,PHS,116,Power,-0.0
2050,FR,H2Tank,39,H2,136.89445254561406
2030,DK,Battery,58,Power,61.34317812212141
2040,FR,PHS,104,Power,309.91426957751355
2030,NO,H2Tank,30,H2,12.410431063799164
2050,FR,H2Tank,26,H2,0.0
2020,DK,Battery,113,Power,3.51482250231401
2030,DK,Battery,12,Power,37.87899246916326
2040,DE,H2Tank,115,H2,6.544420512807016
2050,FR,Battery,109,Power,310.74752213798183
2040,DK,Battery,108,Power,0.0
2030,UK,PHS,2,Power,-0.0
2020,FR,H2Tank,43,H2,10.526315789473685
2040,UK,H2Tank,5,H2,16.375599601653896
2030,DK,H2Tank,73,H2,0.0
2030,FR,Battery,13,Power,32.20013542594413
2030,NO,H2Tank,85,H2,22.974076750382906
2040,DE,H2Tank,30,H2,80.92623101106668
2050,DK,PHS,68,Power,116.9049375997981
2040,DE,PHS,64,Power,-0.0
2050,FR,PHS,107,Power,512.9502875887949
2030,UK,H2Tank,87,H2,4.812689744684791
2040,FR,PHS,58,Power,256.64897015030704
2020,NO,PHS,32,Power,-0.0
2050,FR,Battery,61,Power,302.85650427785987
2040,NO,PHS,50,Power,-0.0
2050,DK,PHS,102,Power,95.71733916688353
2040,NO,Battery,120,Power,-0.0
2050,DE,H2Tank,14,H2,84.39931450892573
2040,UK,Battery,83,Power,233.3486039506324
2050,DK,H2Tank,29,H2,7.5
2030,FR,Battery,48,Power,0.0
2050,UK,PHS,105,Power,186.53194284543196
2040,DK,PHS,89,Power,0.0
2050,FR,PHS,24,Power,255.52901862152333
2050,DK,PHS,26,Power,80.48270972081735
2050,DK,H2Tank,94,H2,7.5
2030,DK,Battery,9,Power,37.890358440022396
2050,UK,Battery,10,Power,181.5109186294353
2020,FR,PHS,34,Power,0.0
2050,DE,H2Tank,86,H2,168.79862901785145
2050,FR,PHS,88,Power,559.591098607856
2030,DE,Battery,69,Power,8.411995408664412
2020,NO,PHS,58,Power,-0.0
2020,DE,PHS,71,Power,-0.0
2050,NO,Battery,99,Power,-0.0
2040,UK,Battery,2,Power,195.80624118074076
2030,UK,Battery,44,Power,-0.0
2030,UK,Battery,66,Power,-0.0
2040,DK,Battery,50,Power,0.0
2030,UK,PHS,8,Power,-0.0
2020,UK,PHS,49,Power,-0.0
2040,DE,H2Tank,36,H2,130.0
2030,NO,PHS,48,Power,-0.0
2050,DE,PHS,56,Power,491.5109991486824
2030,UK,Battery,60,Power,72.74784484972496
2030,DE,PHS,54,Power,-0.0
2040,NO,Battery,74,Power,-0.0
2020,FR,Battery,21,Power,2.0471350806250594
2030,UK,PHS,46,Power,-0.0
2050,UK,H2Tank,29,H2,-0.0
2020,DE,H2Tank,99,H2,8.210860168293365
2040,FR,Battery,110,Power,304.9641984097278
2050,NO,H2Tank,75,H2,7.839024665415342
2020,DE,PHS,120,Power,-0.0
2050,UK,PHS,70,Power,115.89174621291042
2040,FR,Battery,57,Power,302.95991570639853
2050,DE,Battery,26,Power,0.0
2040,FR,H2Tank,7,H2,30.770500407830053
2030,DE,PHS,59,Power,-0.0
2030,FR,PHS,13,Power,-0.0
2030,DE,Battery,1,Power,41.38349792733093
2020,DK,Battery,110,Power,3.515877159989208
2050,UK,Battery,117,Power,178.37073913574238
2020,DE,PHS,32,Power,-0.0
2030,FR,H2Tank,109,H2,43.2995008131579
2050,FR,Battery,46,Power,149.27227048719968
2050,DE,Battery,8,Power,150.22418499838008
2050,NO,H2Tank,103,H2,21.75021870297844
2050,FR,Battery,43,Power,154.06087084625506
2020,UK,Battery,1,Power,4.838422737608529
2030,DE,Battery,67,Power,8.41367806013966
2020,FR,PHS,53,Power,-0.0
2030,NO,H2Tank,44,H2,4.688328537729321
2040,NO,Battery,110,Power,-0.0
2050,NO,H2Tank,45,H2,8.42598847712517
2030,FR,Battery,93,Power,149.82009896700745
2020,UK,H2Tank,86,H2,9.244948479163412
2040,FR,H2Tank,118,H2,52.95968410473684
2040,DK,H2Tank,11,H2,11.890549390587436
2020,DE,PHS,8,Power,-0.0
2040,DE,H2Tank,113,H2,28.70607858947368
2050,DK,PHS,104,Power,95.52600020588892
2050,NO,H2Tank,89,H2,18.27731765717406
2050,DK,Battery,52,Power,0.0
2050,DK,PHS,23,Power,79.22013253725163
2040,FR,Battery,98,Power,353.12306315059635
2030,NO,H2Tank,87,H2,16.48668774880396
2020,FR,H2Tank,73,H2,0.0
2040,NO,H2Tank,95,H2,38.58637636603552
2040,UK,PHS,77,Power,81.7671744123406
2050,UK,H2Tank,9,H2,15.0
2020,UK,Battery,53,Power,0.0
2020,DE,Battery,18,Power,-0.0
2040,FR,H2Tank,24,H2,10.058711055834896
2050,UK,PHS,75,Power,102.66634722135811
2040,DE,PHS,102,Power,-0.0
2030,UK,H2Tank,7,H2,6.0
2040,DE,H2Tank,25,H2,-0.0
2030,FR,PHS,74,Power,-0.0
2020,DK,PHS,75,Power,0.0
2020,UK,PHS,20,Power,-0.0
2050,DK,PHS,103,Power,95.62162182771664
2020,NO,Battery,68,Power,-0.0
2040,DK,Battery,96,Power,3.7716498958601186
2030,NO,PHS,1,Power,-0.0
2050,FR,Battery,88,Power,219.8842528843364
2040,FR,PHS,37,Power,204.9729700136136
2040,NO,Battery,81,Power,-0.0
2030,DE,Battery,60,Power,44.541996181892365
2030,FR,H2Tank,40,H2,27.81197071144438
2040,UK,Battery,111,Power,193.81443981341397
2050,UK,PHS,51,Power,148.04132373720984
2040,DK,H2Tank,99,H2,3.5625
2030,DE,PHS,65,Power,-0.0
2040,UK,Battery,76,Power,61.973159413893946
2020,DK,H2Tank,85,H2,0.0
2020,UK,PHS,23,Power,-0.0
2020,UK,PHS,32,Power,-0.0
2030,NO,PHS,98,Power,-0.0
2040,DE,Battery,31,Power,82.73266832608013
2040,DK,H2Tank,74,H2,3.5625
2030,NO,H2Tank,93,H2,3.289473684210526
2050,FR,Battery,73,Power,0.0
2050,NO,Battery,33,Power,-0.0
2030,DK,H2Tank,65,H2,0.0
2020,UK,PHS,111,Power,-0.0
2050,FR,PHS,117,Power,501.50300500751064
2050,DK,Battery,112,Power,65.62982145375673
2050,FR,PHS,22,Power,275.678138435943
2030,DK,PHS,8,Power,0.0
2020,UK,Battery,41,Power,-0.0
2020,NO,H2Tank,115,H2,0.3994077437499988
2040,NO,H2Tank,37,H2,35.11941766461517
2020,DK,Battery,84,Power,37.539187221073426
2030,FR,PHS,4,Power,-0.0
2040,NO,PHS,54,Power,-0.0
2030,DK,Battery,45,Power,9.496193018550011
2050,FR,PHS,47,Power,378.98671079446825
2030,UK,H2Tank,11,H2,6.0
2040,DE,H2Tank,120,H2,65.0
2020,NO,H2Tank,88,H2,0.17870754374999803
2030,FR,Battery,106,Power,149.97000150000002
2020,FR,H2Tank,22,H2,3.1891695151833197
2050,FR,PHS,6,Power,438.3308234878303
2020,FR,Battery,50,Power,0.0
2020,UK,Battery,28,Power,-0.0
2020,UK,PHS,16,Power,-0.0
2030,FR,H2Tank,68,H2,32.51945891561403
2040,DE,Battery,100,Power,80.5967382894092
2040,DK,Battery,78,Power,38.078112131875194
2040,NO,Battery,117,Power,-0.0
2030,NO,H2Tank,54,H2,29.800339534625
2050,DE,Battery,46,Power,67.27540026940265
2040,DK,Battery,6,Power,42.608086437200434
2030,FR,PHS,27,Power,-0.0
2050,DK,H2Tank,68,H2,7.5
2050,DK,PHS,116,Power,94.38597195092152
2020,NO,Battery,102,Power,-0.0
2020,FR,Battery,117,Power,25.007501500250033
2040,UK,Battery,69,Power,22.98233054622199
2050,UK,Battery,59,Power,400.0
2030,FR,H2Tank,11,H2,24.94559729220543
2020,UK,H2Tank,89,H2,9.244948479163412
2050,DK,H2Tank,43,H2,7.5
2050,NO,PHS,87,Power,299.2935213645697
2040,DK,H2Tank,9,H2,11.0625
2040,DK,H2Tank,2,H2,11.0625
2050,DE,PHS,116,Power,566.315831705529
2030,DK,H2Tank,81,H2,0.0
2040,DE,H2Tank,41,H2,82.28354909330653
2050,DE,H2Tank,50,H2,31.614643380719432
2030,UK,Battery,47,Power,-0.0
2040,DE,H2Tank,15,H2,25.154437207172386
2040,NO,Battery,26,Power,-0.0
2020,FR,PHS,118,Power,-0.0
2020,NO,PHS,12,Power,-0.0
2040,DE,Battery,23,Power,0.0
2030,NO,PHS,92,Power,-0.0
2050,NO,Battery,107,Power,-0.0
2050,NO,H2Tank,63,H2,8.42598847712517
2020,UK,Battery,84,Power,5.206436665760033
2020,DK,Battery,4,Power,16.220377641623383
2030,FR,PHS,83,Power,-0.0
2040,DK,H2Tank,82,H2,15.0
2020,DE,H2Tank,118,H2,11.750740733166667
2050,DE,Battery,73,Power,0.0
2050,FR,Battery,64,Power,243.42753287156455
2020,FR,Battery,40,Power,8.020310375693468
2040,DK,H2Tank,116,H2,0.0
2050,DK,Battery,102,Power,62.36993974172228
2050,DK,H2Tank,107,H2,7.5
2020,UK,H2Tank,84,H2,9.244948479163412
2030,FR,Battery,55,Power,99.75607884314658
2020,FR,H2Tank,15,H2,10.206713374832443
2030,DK,PHS,49,Power,0.0
2030,FR,H2Tank,76,H2,23.75
2040,DE,Battery,109,Power,77.29597924921991
2050,DE,PHS,93,Power,579.4987100430744
2020,FR,Battery,80,Power,50.0
2020,NO,Battery,48,Power,-0.0
2050,NO,PHS,108,Power,389.2708930204228
2020,DK,H2Tank,35,H2,0.0
2040,NO,H2Tank,110,H2,22.937775213475
2030,DK,H2Tank,41,H2,0.0
2040,FR,Battery,53,Power,123.78963425955584
2040,FR,H2Tank,3,H2,42.686869594711766
2040,NO,Battery,79,Power,-0.0
2040,NO,PHS,64,Power,-0.0
2050,DE,PHS,10,Power,606.0853822591438
2030,NO,PHS,31,Power,-0.0
2020,UK,PHS,42,Power,-0.0
2030,UK,PHS,56,Power,-0.0
2030,NO,PHS,80,Power,-0.0
2030,DE,Battery,80,Power,33.47561040136188
2050,FR,Battery,25,Power,-0.0
2030,NO,H2Tank,114,H2,1.1919624639776314
2050,NO,PHS,61,Power,277.5922612976568
2020,NO,Battery,5,Power,-0.0
2030,FR,Battery,3,Power,34.787981320919634
2040,DE,Battery,118,Power,77.22644068795627
2040,DE,PHS,15,Power,-0.0
2040,NO,H2Tank,31,H2,28.657496390315174
2040,NO,H2Tank,56,H2,95.0
2030,NO,Battery,106,Power,-0.0
2020,NO,H2Tank,7,H2,0.0
2050,FR,H2Tank,60,H2,200.0
2050,DK,Battery,85,Power,61.912973618067994
2030,NO,PHS,4,Power,-0.0
2050,DE,Battery,35,Power,154.42199234416617
2050,NO,PHS,55,Power,283.61886525348365
2020,NO,H2Tank,20,H2,-0.0
2050,UK,Battery,35,Power,2.7815560537197115
2020,DE,Battery,88,Power,0.01611958830932589
2020,DK,Battery,54,Power,33.61009890114123
2030,FR,PHS,111,Power,-0.0
2030,NO,Battery,12,Power,-0.0
2050,DK,H2Tank,77,H2,7.5
2050,FR,PHS,95,Power,487.2637813427831
2020,DK,PHS,79,Power,0.0
2020,FR,PHS,43,Power,-0.0
2050,UK,Battery,27,Power,0.0
2020,NO,PHS,30,Power,-0.0
2050,FR,Battery,74,Power,0.0
2050,FR,H2Tank,65,H2,135.10496791867396
2050,NO,Battery,2,Power,-0.0
2040,UK,Battery,13,Power,116.94039580623887
2050,DE,Battery,2,Power,74.37563411349511
2030,DE,H2Tank,72,H2,0.0
2030,DK,H2Tank,55,H2,0.0
2030,NO,PHS,72,Power,-0.0
2030,UK,PHS,25,Power,-0.0
2050,NO,PHS,91,Power,322.3760948861338
2020,UK,H2Tank,92,H2,9.244948479163412
2050,FR,Battery,11,Power,236.46308383746992
2050,NO,Battery,6,Power,-0.0
2040,DE,PHS,14,Power,-0.0
2020,UK,Battery,85,Power,5.205916022093457
