Year,Region,Technology,value
2040,FR,ElectricHeater,0.0
2050,FR,ElectricHeater,0.0
2020,NO,ElectricHeater,-0.0
2030,NO,ElectricHeater,0.0
2040,NO,ElectricHeater,0.0
2050,NO,ElectricHeater,0.0
2020,DK,ElectricHeater,-0.0
2030,DK,ElectricHeater,-0.0
2040,DK,ElectricHeater,0.0
2050,DK,ElectricHeater,0.0
2020,UK,ElectricHeater,-0.0
2030,UK,ElectricHeater,-0.0
2040,UK,ElectricHeater,0.0
2050,UK,ElectricHeater,0.0
2020,DE,WindOffshore,3.0
2030,DE,WindOffshore,10.5
2040,DE,WindOffshore,14.75
2050,DE,WindOffshore,14.875
2020,FR,WindOffshore,-0.0
2030,FR,WindOffshore,6.5
2040,FR,WindOffshore,16.25
2050,FR,WindOffshore,0.125
2020,NO,WindOffshore,-0.0
2030,NO,WindOffshore,5.0
2040,NO,WindOffshore,3.0
2050,NO,WindOffshore,22.0
2020,DK,WindOffshore,-0.0
2030,DK,WindOffshore,7.0
2040,DK,WindOffshore,5.0
2050,DK,WindOffshore,7.915291350398487
2020,UK,WindOffshore,-0.0
2030,UK,WindOffshore,4.0
2040,UK,WindOffshore,14.5
2050,UK,WindOffshore,10.75
