Year,Region,Technology,Hour,Fuel,value
2050,DK,Battery,71,Power,351.2034534069001
2020,NO,H2Tank,108,H2,0.3994077437499988
2050,DE,PHS,115,Power,557.8737054109399
2050,NO,PHS,86,Power,306.50681574484474
2050,DK,Battery,88,Power,605.7530518370139
2020,NO,H2Tank,119,H2,0.9327434959999987
2050,NO,Battery,92,Power,101.04351359509886
2050,NO,H2Tank,72,H2,84.82096228626955
2050,UK,PHS,108,Power,179.76931083160488
2050,UK,PHS,41,Power,114.66418851678641
2030,NO,H2Tank,5,H2,5.296753017543857
2050,NO,PHS,117,Power,431.0621369053676
2050,FR,PHS,89,Power,429.58118914073407
2050,NO,PHS,85,Power,301.9858182741606
2020,FR,Battery,103,Power,28.739748015082974
2050,UK,PHS,72,Power,140.64183637019815
2020,DK,Battery,59,Power,14.290390364977027
2030,DE,H2Tank,57,H2,70.0
2050,UK,H2Tank,116,H2,36.414433778774416
2050,DE,Battery,64,Power,562.1379347870528
2040,DK,H2Tank,4,H2,7.5
2030,FR,Battery,62,Power,40.24121290721253
2030,FR,H2Tank,117,H2,25.0
2050,NO,PHS,20,Power,266.2808553162438
2020,DE,H2Tank,52,H2,34.71559077916883
2050,UK,Battery,101,Power,682.9847227256369
2050,UK,PHS,96,Power,163.8231638062238
2020,FR,Battery,9,Power,8.539284800398125
2030,FR,H2Tank,34,H2,50.0
2040,DE,H2Tank,2,H2,65.0
2020,UK,Battery,81,Power,30.947032112685875
2030,DE,H2Tank,58,H2,70.0
2040,DK,H2Tank,109,H2,4.152286476530675
2050,FR,PHS,110,Power,472.7311987687665
2030,DE,Battery,116,Power,33.79830559124018
2050,NO,Battery,69,Power,12.622364787681587
2050,DK,Battery,69,Power,370.9219878709861
2040,UK,H2Tank,62,H2,12.354243154594975
2040,NO,H2Tank,18,H2,4.1118421052631575
2050,DE,PHS,18,Power,379.3170422479357
2050,FR,H2Tank,4,H2,100.0
2020,DK,Battery,61,Power,14.287532429807934
2020,UK,H2Tank,44,H2,2.375
2050,FR,Battery,75,Power,454.785678843354
2050,DE,PHS,85,Power,505.86646014911224
2050,DE,H2Tank,101,H2,43.79613974096066
2050,NO,Battery,9,Power,30.614040951333685
2050,DK,PHS,35,Power,60.108095948437054
2050,DK,H2Tank,1,H2,20.0
2020,FR,H2Tank,31,H2,22.157861704188498
2020,NO,H2Tank,82,H2,0.723905896649998
2020,DE,H2Tank,78,H2,45.85514206919288
2050,FR,PHS,50,Power,296.23440867618297
2020,NO,H2Tank,78,H2,0.723905896649998
2050,NO,H2Tank,10,H2,68.35075859619387
2030,NO,H2Tank,39,H2,10.607353688363432
2030,UK,H2Tank,78,H2,11.399999999999999
2050,NO,H2Tank,113,H2,75.0
2020,FR,Battery,112,Power,25.40394787444992
2020,UK,H2Tank,2,H2,5.0
2050,DK,H2Tank,42,H2,19.440789473684205
2040,FR,H2Tank,8,H2,7.856796138521304
2040,UK,Battery,114,Power,132.5940760153238
2020,FR,H2Tank,110,H2,29.692336074210523
2050,DE,Battery,52,Power,174.65419845668865
2050,NO,Battery,80,Power,97.93220804389789
2050,DK,Battery,30,Power,1.8138120187975066
2050,DE,H2Tank,33,H2,175.0
2050,DE,Battery,32,Power,224.9337786732992
2050,UK,Battery,77,Power,582.4589680065417
2030,FR,H2Tank,102,H2,26.25
2050,DK,Battery,72,Power,334.53664813655945
2050,FR,PHS,105,Power,475.1019623093349
2020,UK,H2Tank,34,H2,5.25
2030,UK,Battery,105,Power,75.02588515347844
2050,NO,Battery,34,Power,2.4627627787868365
2030,DK,Battery,68,Power,42.8782343422274
2040,FR,H2Tank,104,H2,50.0
2040,FR,H2Tank,112,H2,50.0
2030,NO,H2Tank,53,H2,21.4185260645
2040,UK,H2Tank,104,H2,17.15580972578947
2030,UK,Battery,34,Power,61.743582128938286
2040,DK,Battery,92,Power,44.84861417605418
2020,FR,H2Tank,39,H2,15.525281425436901
2030,DE,H2Tank,54,H2,70.0
2040,UK,Battery,3,Power,175.54447186720742
2040,DE,H2Tank,90,H2,8.38446541514739
2050,UK,PHS,10,Power,158.96929058998177
2020,FR,Battery,109,Power,28.722508476661382
2050,FR,H2Tank,87,H2,200.0
2030,DE,H2Tank,7,H2,22.300667866438737
2050,UK,H2Tank,47,H2,34.05701754385966
2050,DK,Battery,117,Power,600.1800360060007
2020,FR,Battery,61,Power,12.95481531481482
2050,DE,Battery,104,Power,646.0939029384988
2050,NO,PHS,45,Power,207.88850085697246
2020,DE,H2Tank,14,H2,8.947368421052632
2050,UK,PHS,14,Power,142.671605827255
2020,UK,Battery,10,Power,8.723043700351683
2040,NO,H2Tank,83,H2,4.395450043011184
2050,NO,Battery,70,Power,12.621102551202819
2020,DE,H2Tank,86,H2,33.1622303805048
2040,DE,H2Tank,37,H2,74.34983699859933
2040,FR,H2Tank,111,H2,50.0
2050,UK,H2Tank,51,H2,44.64789149993747
2030,UK,H2Tank,108,H2,8.196393490110962
2040,FR,H2Tank,92,H2,3.679362676842105
2050,NO,PHS,49,Power,207.05819335320362
2050,UK,H2Tank,102,H2,80.22098373806251
2040,UK,H2Tank,35,H2,15.267660284241657
2050,DK,PHS,2,Power,95.88049215686274
2030,DE,Battery,89,Power,33.88968889752336
2050,DK,PHS,71,Power,72.73611674926215
2050,DE,H2Tank,119,H2,68.41245191648875
2020,UK,H2Tank,29,H2,2.375
2050,UK,PHS,12,Power,150.81229529181786
2050,DK,PHS,85,Power,85.13023145680023
2030,UK,Battery,90,Power,70.64353353964934
2050,FR,H2Tank,55,H2,200.0
2020,UK,Battery,117,Power,16.148492450132167
2030,NO,H2Tank,35,H2,12.719011832047642
2050,UK,PHS,3,Power,187.6476547019608
2020,NO,H2Tank,103,H2,0.3994077437499988
2050,FR,Battery,79,Power,1040.2935616940936
2050,DE,PHS,22,Power,330.8137661231322
2030,FR,Battery,113,Power,75.05252100630153
2030,DE,H2Tank,66,H2,18.866039487914946
2030,DE,Battery,75,Power,19.34464243146431
2030,DE,Battery,106,Power,33.83212249333754
2050,FR,H2Tank,69,H2,92.68546179824557
2050,UK,PHS,33,Power,109.5766317183221
2040,FR,H2Tank,63,H2,68.53070175438597
2020,NO,H2Tank,89,H2,0.3994077437499988
2020,DK,Battery,52,Power,8.486932734889567
2050,FR,Battery,56,Power,747.0267844318345
2050,NO,Battery,73,Power,12.617316599057913
2050,UK,Battery,56,Power,622.0383422735616
2030,UK,H2Tank,83,H2,12.0
2050,DE,PHS,78,Power,473.33155191478426
2020,UK,H2Tank,9,H2,2.7417101344856927
2050,FR,PHS,112,Power,471.7862091024277
2030,FR,Battery,37,Power,3.5661098996972775
2030,UK,H2Tank,48,H2,2.108119884561406
2040,NO,H2Tank,79,H2,12.6191342535375
2030,NO,H2Tank,66,H2,19.067928003684205
2050,NO,PHS,14,Power,321.011113111324
2050,UK,PHS,118,Power,194.3915887859832
2030,NO,H2Tank,51,H2,8.85738667305
2040,DK,Battery,2,Power,199.960002
2050,UK,Battery,37,Power,317.5045136431314
2050,DK,H2Tank,113,H2,10.526315789473683
2020,FR,Battery,88,Power,28.782892144355042
2040,DK,Battery,13,Power,169.33903077535663
2050,FR,H2Tank,45,H2,94.79582250236837
2030,DE,H2Tank,104,H2,9.6977226551251
2030,FR,H2Tank,78,H2,47.5
2050,UK,Battery,4,Power,366.4160176070661
2030,FR,H2Tank,59,H2,50.0
2050,DE,H2Tank,6,H2,87.5
2030,FR,H2Tank,17,H2,3.999148821635141
2030,UK,Battery,100,Power,71.26099715510581
2050,DE,H2Tank,12,H2,87.5
2050,UK,Battery,91,Power,689.5162491718064
2050,DE,PHS,28,Power,299.9304863567937
2050,DK,H2Tank,89,H2,29.7203947368421
2050,DK,Battery,38,Power,38.5360374632768
2030,UK,H2Tank,70,H2,1.8076605777322552
2040,DE,Battery,19,Power,20.85431909295265
2040,DK,H2Tank,53,H2,14.25
2030,NO,H2Tank,90,H2,13.77576889315789
2050,DE,PHS,30,Power,317.3219253145665
2050,FR,H2Tank,66,H2,144.08348811403505
2050,NO,H2Tank,33,H2,94.28345606158243
2030,NO,H2Tank,77,H2,26.306310531077727
2030,DK,Battery,53,Power,19.34520838665812
2050,UK,H2Tank,115,H2,36.414433778774416
2040,DK,Battery,1,Power,199.98
2050,DK,H2Tank,5,H2,20.0
2030,DE,H2Tank,65,H2,32.02393422475705
2050,DK,Battery,56,Power,307.8549204769815
2020,UK,Battery,59,Power,32.28729677367151
2040,FR,H2Tank,116,H2,50.0
2050,UK,PHS,24,Power,102.21160744860933
2030,UK,H2Tank,119,H2,6.0
2040,DK,H2Tank,80,H2,15.0
2050,NO,Battery,7,Power,77.31780053449565
2030,DK,Battery,91,Power,38.569705365653405
2020,DE,H2Tank,50,H2,6.215590779168827
2050,NO,Battery,32,Power,2.4632554052353295
2020,NO,H2Tank,63,H2,0.4430531605999994
2040,DE,H2Tank,16,H2,65.0
2040,DK,H2Tank,46,H2,4.19366847982456
2040,DE,H2Tank,68,H2,1.2792271201879326
2050,FR,H2Tank,75,H2,61.31661468178159
2050,UK,H2Tank,55,H2,130.0
2030,FR,H2Tank,6,H2,18.791279640122955
2030,DE,Battery,119,Power,33.788167113478174
2040,UK,Battery,119,Power,200.0200020002
2050,DE,H2Tank,11,H2,87.5
2050,DE,PHS,92,Power,502.33600043610016
2050,NO,H2Tank,118,H2,75.0
2030,FR,H2Tank,113,H2,25.0
2050,FR,H2Tank,83,H2,200.0
2020,FR,H2Tank,60,H2,35.26176238947368
2050,DE,H2Tank,112,H2,6.175599564632358
2050,DK,PHS,4,Power,91.76921920990392
2050,FR,Battery,7,Power,249.2699749612126
2040,DK,H2Tank,54,H2,14.25
2020,FR,H2Tank,65,H2,17.717902740350873
2030,FR,H2Tank,10,H2,2.7550133644416706
2050,FR,Battery,119,Power,600.0600060006001
2050,NO,PHS,40,Power,208.9310689794461
2050,UK,H2Tank,79,H2,130.0
2020,FR,Battery,11,Power,8.537577028830894
2030,DK,Battery,98,Power,38.542714670185774
2050,DK,PHS,28,Power,49.988414392798866
2040,DK,Battery,115,Power,76.88572269526986
2050,UK,H2Tank,80,H2,130.0
2030,DE,H2Tank,43,H2,25.406045556666665
2030,FR,Battery,84,Power,88.41594576745874
2020,FR,Battery,1,Power,24.9975
2040,DK,H2Tank,6,H2,7.5
2040,FR,Battery,4,Power,43.212247951036545
2050,DE,PHS,83,Power,506.87971269478913
2050,NO,Battery,1,Power,186.17385858125
2020,DE,H2Tank,64,H2,31.578947368421048
2040,NO,Battery,14,Power,50.68348406551675
2050,DE,H2Tank,42,H2,72.2039473684211
2050,DK,PHS,59,Power,73.61465014290967
2040,DE,H2Tank,88,H2,30.36729667368811
2020,UK,H2Tank,38,H2,10.0
2050,DE,PHS,76,Power,456.25260086391125
2050,NO,Battery,28,Power,2.464240953772238
2050,UK,Battery,110,Power,600.6003301320425
2050,UK,PHS,69,Power,141.0646071388579
2050,DK,H2Tank,84,H2,33.1469298245614
2050,NO,Battery,105,Power,108.49400876086212
2050,FR,Battery,115,Power,600.3000900210039
2050,UK,H2Tank,81,H2,130.0
2050,DK,H2Tank,58,H2,40.0
2030,DE,H2Tank,103,H2,5.527091085324941
2050,NO,H2Tank,61,H2,108.5640182760064
2020,NO,H2Tank,2,H2,0.4909176294736835
2050,FR,Battery,68,Power,563.8790064902006
2030,UK,H2Tank,10,H2,3.0239958754101877
2040,DE,H2Tank,77,H2,90.31834538622387
2030,UK,H2Tank,64,H2,11.28134478825857
2050,NO,PHS,110,Power,386.652109482856
2050,DK,H2Tank,66,H2,22.867324561403503
2020,UK,Battery,95,Power,16.184060021913336
2020,UK,Battery,93,Power,16.187297319504264
2030,UK,H2Tank,52,H2,6.300000000000001
2050,DK,PHS,66,Power,73.1008909256245
2030,FR,H2Tank,33,H2,50.0
2050,NO,H2Tank,60,H2,112.24948279140114
2020,UK,H2Tank,82,H2,10.0
2020,UK,Battery,109,Power,16.161417059487903
2050,UK,PHS,5,Power,179.43333135393704
2050,FR,Battery,101,Power,863.9790116916755
2050,NO,PHS,19,Power,275.379764492501
2040,DK,Battery,113,Power,76.73811183234328
2050,UK,Battery,8,Power,223.64671208860236
2050,DK,H2Tank,10,H2,20.0
2020,DE,H2Tank,111,H2,23.608582994013577
2050,FR,H2Tank,106,H2,187.89462485394736
2030,FR,Battery,33,Power,17.341566397800825
2040,FR,H2Tank,43,H2,1.9506470316309894
2050,NO,Battery,112,Power,126.25220727884195
2030,UK,H2Tank,120,H2,6.0
2030,UK,H2Tank,66,H2,8.123450051416466
2030,FR,H2Tank,57,H2,50.0
2050,DE,PHS,77,Power,464.7963482630473
2050,DE,H2Tank,79,H2,164.32996992849291
2050,NO,Battery,119,Power,186.1543453628238
2050,DK,PHS,21,Power,57.15356556648058
2020,NO,H2Tank,94,H2,0.3994077437499988
2030,DK,Battery,116,Power,38.47339672269382
2050,DK,Battery,33,Power,38.55531126376309
2050,DE,PHS,53,Power,385.0829923034728
2050,NO,Battery,11,Power,6.497946774797323
2050,NO,PHS,25,Power,220.92261123084717
2050,UK,H2Tank,95,H2,70.41905246144435
2050,UK,Battery,6,Power,228.0610663657312
2050,DK,Battery,70,Power,361.88095650275454
2050,UK,PHS,6,Power,175.3323293951321
2050,UK,H2Tank,88,H2,130.0
2050,UK,Battery,98,Power,683.1896591283687
2030,DK,Battery,67,Power,51.81264879229182
2020,NO,H2Tank,55,H2,0.4430531605999994
2030,FR,H2Tank,99,H2,11.875
2030,NO,H2Tank,92,H2,8.468562538421054
2040,DK,Battery,110,Power,67.30183541593304
2050,DE,H2Tank,9,H2,87.5
2020,UK,Battery,54,Power,7.001760285599992
2020,DE,H2Tank,29,H2,14.25
2050,UK,Battery,57,Power,692.7821852768342
2030,UK,Battery,115,Power,74.9508930209718
2040,UK,Battery,1,Power,199.98
2030,FR,Battery,82,Power,149.985
2040,UK,H2Tank,86,H2,14.232184604581743
2030,DE,H2Tank,38,H2,50.54766223114626
2050,DK,PHS,41,Power,59.748347792925
2030,DK,Battery,73,Power,8.054125672426517
2050,NO,PHS,119,Power,443.6936936936937
2050,DK,H2Tank,70,H2,6.853070175438597
2050,DK,Battery,79,Power,548.5833685430433
2040,DE,Battery,18,Power,30.19339912508738
2050,DK,H2Tank,3,H2,20.0
2030,UK,H2Tank,67,H2,8.123450051416466
2050,NO,PHS,93,Power,338.6479585019461
2050,NO,H2Tank,27,H2,8.443045401934375
2050,UK,H2Tank,39,H2,102.58771929824562
2050,DK,Battery,82,Power,616.8736898660386
2050,DK,PHS,100,Power,86.86067804094343
2050,FR,PHS,8,Power,417.8565609559918
2050,DK,PHS,54,Power,66.46127758986212
2050,UK,PHS,67,Power,141.34716011192162
2050,FR,Battery,28,Power,20.945039618620005
2030,NO,H2Tank,84,H2,33.421052631578945
2040,DK,H2Tank,85,H2,5.620071676722441
2050,UK,Battery,67,Power,530.7782734764158
2030,DE,H2Tank,70,H2,8.116507689493897
2050,DK,H2Tank,101,H2,27.630130974548887
2020,DE,H2Tank,57,H2,60.0
2020,FR,H2Tank,117,H2,20.0
2040,NO,H2Tank,115,H2,10.490486574135408
2040,DK,Battery,84,Power,44.884509218279426
2050,NO,PHS,10,Power,357.6809038274592
2050,DE,H2Tank,71,H2,0.6310227298246076
2020,FR,H2Tank,34,H2,25.384918744788497
2050,DE,PHS,87,Power,504.8552330952742
2030,DK,Battery,109,Power,38.500338876183356
2020,DE,H2Tank,58,H2,60.0
2030,NO,H2Tank,4,H2,8.586226701754383
2050,DE,Battery,81,Power,1087.813714259328
2050,UK,H2Tank,20,H2,13.706140350877194
2030,NO,H2Tank,58,H2,40.0
2030,DE,H2Tank,53,H2,61.715312831492085
2040,FR,Battery,117,Power,164.0480510584141
2050,DE,H2Tank,3,H2,87.5
2030,FR,Battery,87,Power,74.27800116435031
2030,UK,Battery,99,Power,71.26812396750256
2030,UK,H2Tank,103,H2,9.15
2050,DK,H2Tank,91,H2,28.583851109649114
2040,UK,Battery,84,Power,90.41054262835941
2040,DK,Battery,4,Power,198.70325283882966
2050,NO,Battery,118,Power,178.68152379657843
2040,DE,H2Tank,118,H2,59.090102903049996
2050,DE,H2Tank,83,H2,175.0
2040,UK,H2Tank,84,H2,14.573998551599288
2040,FR,H2Tank,15,H2,4.645102886177002
2020,UK,H2Tank,78,H2,8.83208683743132
2050,DE,Battery,120,Power,600.0
2050,NO,PHS,105,Power,382.27745512974155
2040,FR,Battery,80,Power,125.5091613111166
2050,UK,H2Tank,31,H2,99.125
2050,UK,H2Tank,33,H2,130.0
2040,DK,H2Tank,35,H2,14.531510651526649
2050,FR,H2Tank,64,H2,178.34883899122804
2050,UK,Battery,20,Power,21.65159359732269
2030,DE,H2Tank,56,H2,70.0
2050,FR,PHS,1,Power,489.69607843137254
2030,DE,H2Tank,35,H2,70.0
2040,NO,Battery,5,Power,143.77837493508517
2040,NO,H2Tank,7,H2,41.118421052631575
2050,DE,H2Tank,87,H2,175.0
2020,FR,H2Tank,102,H2,22.165266854783326
2020,UK,Battery,105,Power,16.167883242776686
2050,UK,H2Tank,61,H2,130.0
2040,DK,Battery,54,Power,4.400917054586825
2020,NO,H2Tank,53,H2,0.4430531605999994
2020,DE,H2Tank,54,H2,50.56801814567442
2050,DK,PHS,91,Power,84.62072532020309
2050,DK,PHS,94,Power,84.3671169217977
2040,UK,Battery,85,Power,90.40150157409657
2030,DK,Battery,97,Power,38.54656932711848
2050,DK,Battery,3,Power,473.35006943741365
2040,NO,H2Tank,52,H2,3.383106454815512
2030,DE,Battery,87,Power,33.896467852129106
2050,NO,PHS,79,Power,283.51352423392973
2050,DE,H2Tank,21,H2,41.42467019130352
2050,UK,Battery,39,Power,313.90166467763544
2020,DE,H2Tank,7,H2,19.473684210526315
2050,UK,PHS,15,Power,138.6073655939768
2050,UK,PHS,61,Power,142.1982192962419
2050,DE,PHS,40,Power,353.7076677024707
2050,NO,H2Tank,47,H2,76.70722714859063
2050,DK,Battery,87,Power,605.8136332003339
2040,DE,H2Tank,20,H2,46.329717228070166
2050,FR,Battery,81,Power,1200.0
2050,FR,PHS,63,Power,359.3684927902949
2020,UK,H2Tank,108,H2,10.0
2030,DK,Battery,64,Power,59.18119843460386
2050,NO,PHS,63,Power,246.54325317863677
2030,DE,H2Tank,85,H2,30.867937634210534
2040,DK,H2Tank,34,H2,14.531510651526649
2030,FR,Battery,111,Power,75.06753376237866
2040,DE,H2Tank,81,H2,130.0
2040,UK,Battery,116,Power,144.99670733056257
2050,DK,PHS,25,Power,49.09391360685487
2040,FR,Battery,105,Power,164.24503673689992
2050,NO,H2Tank,117,H2,75.0
2040,NO,H2Tank,81,H2,12.6191342535375
2050,FR,Battery,15,Power,169.51968598688296
2050,DK,Battery,75,Power,397.250522569764
2020,UK,Battery,90,Power,16.192154480099852
2050,NO,PHS,27,Power,211.66628104864375
2040,DK,Battery,10,Power,195.6676840495107
2050,FR,PHS,26,Power,235.4201768976126
2030,DK,Battery,7,Power,26.928927236899654
2050,DK,PHS,48,Power,59.33136198457594
2030,UK,H2Tank,30,H2,8.549999999999999
2040,FR,Battery,2,Power,173.63393287222223
2040,FR,Battery,95,Power,125.95519605918192
2020,FR,Battery,113,Power,25.017507002100515
2020,DE,H2Tank,66,H2,21.052631578947366
2050,UK,H2Tank,107,H2,121.53681240833333
2030,FR,Battery,35,Power,21.24276968231716
2050,FR,H2Tank,35,H2,200.0
2050,DE,H2Tank,13,H2,87.5
2050,UK,Battery,106,Power,682.6432986559167
2020,UK,H2Tank,83,H2,10.0
2050,DK,PHS,83,Power,85.3007476513553
2030,DK,Battery,103,Power,38.52344716673674
2050,FR,Battery,118,Power,600.1200180024002
2050,DE,H2Tank,95,H2,54.990514884728775
2050,NO,H2Tank,12,H2,59.784420876895624
2020,NO,H2Tank,51,H2,0.4430531605999994
2030,DE,Battery,85,Power,33.90324816272917
2040,FR,H2Tank,32,H2,79.21992491845
2050,FR,PHS,31,Power,264.2004578543686
2050,DK,PHS,78,Power,79.7135038397507
2050,NO,Battery,16,Power,3.3236368749719563
2050,UK,H2Tank,56,H2,130.0
2050,FR,PHS,15,Power,346.518413984942
2050,DK,H2Tank,63,H2,33.1469298245614
2020,DE,H2Tank,104,H2,23.608582994013577
2020,FR,H2Tank,78,H2,36.804672990533334
2030,DK,Battery,95,Power,38.55427979753519
2040,DE,H2Tank,76,H2,62.88109291968218
2020,NO,H2Tank,99,H2,0.3994077437499988
2020,FR,H2Tank,59,H2,40.0
2040,DK,Battery,94,Power,44.839644901705114
2020,FR,H2Tank,17,H2,5.054157135438578
2050,DK,PHS,106,Power,92.30941877408613
2020,UK,Battery,100,Power,16.175969610146552
2040,UK,H2Tank,110,H2,15.0
2050,DE,PHS,91,Power,502.83883927537556
2050,DK,PHS,115,Power,92.97895090182334
2050,NO,PHS,60,Power,247.2843646668277
2050,FR,Battery,31,Power,277.31528362914196
2020,NO,H2Tank,90,H2,0.3994077437499988
2050,DK,PHS,105,Power,92.40182059468081
2020,NO,H2Tank,77,H2,0.4430531605999994
2020,DK,Battery,53,Power,8.486084041616078
2040,DK,H2Tank,75,H2,7.125
2030,DK,Battery,8,Power,26.926234344175963
2050,FR,Battery,63,Power,730.6054791659419
2020,DE,H2Tank,65,H2,31.578947368421048
2050,DK,PHS,81,Power,83.97010388902946
2040,DK,Battery,17,Power,15.712524961384998
2020,UK,Battery,5,Power,8.72740653096378
2030,DE,Battery,30,Power,32.101110066237084
2040,NO,H2Tank,112,H2,0.12802306946249734
2050,DK,H2Tank,45,H2,11.493780028947361
2040,DK,H2Tank,114,H2,7.5
2050,FR,Battery,8,Power,249.24504796371647
2020,UK,H2Tank,119,H2,5.0
2050,DE,Battery,62,Power,562.2503792403971
2050,DK,H2Tank,108,H2,24.20359588682959
2020,FR,H2Tank,9,H2,12.982456140350877
2040,UK,H2Tank,13,H2,23.684210526315788
2050,DK,H2Tank,52,H2,28.5
2050,DK,PHS,88,Power,84.87509606799397
2020,FR,H2Tank,6,H2,12.982456140350877
2030,FR,H2Tank,12,H2,21.39834437341793
2040,NO,H2Tank,3,H2,47.5
2050,DE,Battery,38,Power,167.49889470081044
2040,UK,Battery,75,Power,9.931370644800007
2030,FR,H2Tank,20,H2,1.2365835847368418
2020,FR,H2Tank,113,H2,20.0
2030,DK,Battery,100,Power,38.53500651267888
2020,FR,H2Tank,89,H2,20.908145987179324
2040,FR,H2Tank,56,H2,100.0
2050,FR,Battery,83,Power,1199.88
2050,NO,H2Tank,96,H2,83.90516319717105
2020,UK,Battery,9,Power,8.723916091960879
2050,FR,PHS,73,Power,368.6745221965251
2030,DE,H2Tank,63,H2,63.6028815931781
2020,FR,H2Tank,10,H2,12.982456140350877
2030,FR,Battery,99,Power,72.64411624925451
2050,DE,Battery,55,Power,326.4279604435251
2050,DK,Battery,41,Power,38.5244778080804
2050,FR,Battery,6,Power,249.29490445165774
2030,FR,H2Tank,18,H2,3.999148821635141
2030,DE,Battery,105,Power,33.83550604394194
2040,DE,H2Tank,10,H2,65.0
2050,UK,H2Tank,8,H2,65.0
2040,DE,Battery,6,Power,192.74636869032773
2030,FR,Battery,107,Power,75.09756828413859
2050,DE,H2Tank,74,H2,41.5625
2020,DE,H2Tank,43,H2,10.526315789473683
2020,FR,Battery,84,Power,28.794408180077756
2030,NO,H2Tank,32,H2,15.043731623100271
2040,UK,H2Tank,59,H2,30.0
2050,UK,Battery,55,Power,544.7216913949511
2030,DK,Battery,65,Power,58.2969368784641
2040,UK,Battery,94,Power,84.39161636286892
2050,DE,PHS,36,Power,355.12604253651057
2020,UK,Battery,12,Power,8.72129917884205
2050,FR,Battery,94,Power,920.3198000992456
2050,NO,PHS,62,Power,246.79004322185867
2050,DK,H2Tank,106,H2,27.630130974548887
2030,FR,H2Tank,101,H2,25.073328880055502
2050,DE,Battery,95,Power,784.2420429256969
2030,FR,H2Tank,62,H2,50.0
2050,FR,PHS,103,Power,461.03106340508174
2050,UK,PHS,99,Power,163.33218562047335
2050,FR,PHS,40,Power,291.63769688401646
2050,NO,H2Tank,86,H2,83.90516319717105
2020,DE,H2Tank,103,H2,23.608582994013577
2040,DK,H2Tank,21,H2,7.5
2050,UK,H2Tank,118,H2,76.05114169560679
2050,FR,Battery,16,Power,107.54482050976577
2030,DE,H2Tank,40,H2,38.87512476079539
2020,UK,H2Tank,10,H2,2.8881578947368416
2050,UK,PHS,100,Power,166.16885343485288
2020,UK,H2Tank,64,H2,5.263157894736842
2050,DK,PHS,62,Power,73.39402696281671
2020,UK,H2Tank,52,H2,3.0675250967000043
2030,FR,Battery,89,Power,72.71680033575454
2030,DK,Battery,81,Power,38.608296292845104
2030,UK,Battery,63,Power,37.461429199984394
2020,FR,H2Tank,33,H2,25.384918744788497
2040,DK,Battery,58,Power,12.463732246308496
2030,DE,Battery,33,Power,49.38030155255528
2050,FR,PHS,5,Power,448.5833283848426
2040,DK,Battery,12,Power,195.62855246937764
2050,DE,Battery,114,Power,600.3601260336073
2050,NO,PHS,15,Power,311.866572586448
2050,FR,PHS,102,Power,453.98504845353534
2040,UK,H2Tank,87,H2,14.232184604581743
2050,FR,Battery,91,Power,1046.2564885262514
2030,FR,Battery,10,Power,34.378097034654544
2050,DE,PHS,81,Power,498.8859857803641
2020,UK,H2Tank,120,H2,5.0
2040,DK,Battery,9,Power,195.6872527747882
2020,UK,H2Tank,66,H2,2.631578947368421
2050,FR,Battery,45,Power,203.70603839224006
2020,FR,H2Tank,57,H2,40.0
2050,NO,PHS,88,Power,319.38735862017074
2050,UK,Battery,52,Power,300.82549728032944
2050,FR,Battery,12,Power,249.145364898237
2050,UK,PHS,48,Power,113.863943135892
2030,NO,H2Tank,65,H2,21.512836337368416
2050,DE,H2Tank,91,H2,128.95069779720683
2050,UK,H2Tank,42,H2,61.46929824561404
2050,NO,PHS,34,Power,210.18905467228927
2050,DE,Battery,84,Power,1004.0497542620259
2050,DE,H2Tank,82,H2,175.0
2040,UK,Battery,60,Power,30.809307084576965
2050,UK,Battery,73,Power,439.99646610729275
2030,DE,H2Tank,2,H2,35.0
2050,FR,H2Tank,119,H2,117.1326754385965
2020,FR,H2Tank,99,H2,18.95059711023333
2040,DE,Battery,1,Power,199.98
2020,NO,H2Tank,107,H2,0.3994077437499988
2020,NO,H2Tank,92,H2,0.3994077437499988
2050,DK,Battery,11,Power,131.39901806026572
2050,DK,Battery,66,Power,393.792940845075
2040,FR,H2Tank,109,H2,50.0
2050,UK,Battery,49,Power,256.52912053937416
2050,DK,Battery,119,Power,600.0600060006001
2050,UK,H2Tank,54,H2,130.0
2050,NO,PHS,112,Power,399.37244191599973
2020,UK,Battery,115,Power,16.151722633141567
2030,UK,H2Tank,62,H2,12.0
2020,FR,Battery,82,Power,49.995
2050,DE,H2Tank,62,H2,175.0
2050,NO,PHS,76,Power,264.075201125779
2040,FR,Battery,93,Power,125.9803908775535
2020,DE,H2Tank,38,H2,25.455973271403508
2050,DK,PHS,57,Power,70.75759457446402
2050,FR,PHS,55,Power,332.1812709785331
2050,NO,PHS,111,Power,393.0154573733732
2030,UK,H2Tank,65,H2,8.123450051416466
2030,FR,H2Tank,47,H2,6.140350877192981
2050,UK,PHS,66,Power,141.4886487606823
2050,DK,H2Tank,71,H2,3.4265350877192984
2040,UK,H2Tank,7,H2,2.3092105263157876
2050,FR,PHS,29,Power,249.7071223920303
2030,FR,H2Tank,8,H2,3.0701754385964906
2030,UK,Battery,114,Power,74.95838885985779
2050,FR,H2Tank,53,H2,143.18006234670997
2040,FR,H2Tank,40,H2,29.362927733385376
2050,DK,PHS,111,Power,91.84879385177067
2050,FR,PHS,106,Power,474.6268603470255
2020,NO,H2Tank,84,H2,0.3994077437499988
2050,FR,H2Tank,41,H2,128.60471708064398
2050,DE,H2Tank,80,H2,164.32996992849291
